Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
"Öl 3,2% 35,5cl Corona","22,90 kr","0.355L 64,51 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-2-35-5cl-corona/1405784
Energidryck Juicy Melba 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",5 kcal,22 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-juicy-melba-33cl-nocco/2110664
Lightdryck Strawberry Rhubarb Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",1.1 kcal,4.6 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-strawberry-rhubarb-sockerfri-80cl-zeroh/2074549
Iskaffe Daily Brew 250ml Starbucks®,"21,90 kr","0.25L 87,60 kr/l",46 kcal,193 kJ,1 g,0.6 g,6.3 g,5.8 g,2.9 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-daily-brew-250ml-starbucks/2112763
"Läsk Cola Zero 1,5l Coca-Cola","27,90 kr","1.5L 18,60 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-1-5l-coca-cola/1328139
"Läsk 1,5l Trocadero Zero","24,90 kr","1.5L 16,60 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-1-5l-trocadero-zero/2016864
"Öl 2,8% 50cl 6-p Norrlands Guld","52,00 kr","3L 17,33 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-6-p-norrlands-guld/1397730
Energidryck Aussie Lemonade 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",42 kcal,177 kJ,0 g,0 g,11 g,9.7 g,0 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-aussie-lemonade-50cl-monster-energy/2110568
Herrgårdscider Hallon & fläder 75cl Kiviks Musteri,"28,90 kr","0.75L 38,53 kr/l",35 kcal,160 kJ,0 g,0 g,8.4 g,8.3 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rdscider-hallon-fl%C3%A4der-75cl-kiviks-musteri/1468441
Blandsaft Citron/lime 1l ICA,"42,90 kr","8L 5,36 kr/l exkl pant",22 kcal,92 kJ,0 g,0 g,5.5 g,5.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-citron-lime-1l-ica/1521368
Vatten Kolsyrad Päron 50cl Bonaqua silver,"15,90 kr","0.5L 31,80 kr/l exkl pant",8 kcal,35 kJ,0 g,0 g,2 g,2 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-p%C3%A4ron-50cl-bonaqua-silver/1304479
Läsk Pepsi Max Lime 150cl Pepsi,"25,90 kr","1.5L 17,27 kr/l exkl pant",0.7 kcal,3 kJ,0 g,0 g,0.1 g,0 g,0.1 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-lime-150cl-pepsi/2017021
Kaffekapslar Espresso 10 Supremo L'Or,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-espresso-10-supremo-l-or/2022079
Kolsyrat vatten Hallon Äpple 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,4 mg,39 mg,100 mg,0.2 mg,11.5 mg,16 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-hallon-%C3%A4pple-50cl-raml%C3%B6sa/2104994
Fruktdryck Classic Orange 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",29 kcal,123 kJ,0 g,0 g,6.8 g,6.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-classic-orange-50cl-festis/1467529
