Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
Matgrädde Laktosfri 10% 3dl Valio,"26,90 kr","0.3L 89,67 kr/l",119 kcal,494 kJ,10 g,5.9 g,5.6 g,2.5 g,1.7 g,0.19 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matgr%C3%A4dde-laktosfri-10-3dl-valio/2117623
"Kvarg Blåbär & Vanilj Utan tillsatt socker 0,2% 150g Lindahls","14,90 kr","0.15kg 99,33 kr/kg",60 kcal,250 kJ,0.2 g,0 g,3.5 g,3.5 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-bl%C3%A5b%C3%A4r-vanilj-utan-tillsatt-socker-0-2-150g-lindahls/2011432
Bredbart Smör Gårdsgoda Normalsaltat 57% 500g Valio,"61,00 kr","0.5kg 122,00 kr/kg",507 kcal,2123 kJ,57 g,22 g,0.5 g,0.5 g,0.3 g,0.9 g,,20 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bredbart-sm%C3%B6r-g%C3%A5rdsgoda-normalsaltat-57-500g-valio/2135000
"Hälsofil 3,5% Jordgubb Smultron 1000g Verum®","36,90 kr","1kg 36,90 kr/kg",80 kcal,330 kJ,3.5 g,2.3 g,8.2 g,7.8 g,3 g,0.1 g,,0.88 µg,125 mg,,,,,13 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/h%C3%A4lsofil-3-5-jordgubb-smultron-1000g-verum/2057837
Yoghurt Naturell 3% 1000g Arla Ko®,"24,90 kr","1kg 24,90 kr/kg",58 kcal,245 kJ,3 g,1.9 g,3.7 g,3.7 g,3.5 g,0.09 g,,1 µg,122 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-naturell-3-1000g-arla-ko/2032482
"Havredryck Naturell 1,5% Ekologisk 1l Oatly","26,90 kr","1L 26,90 kr/l",48 kcal,203 kJ,1.5 g,0.2 g,7.2 g,3.5 g,1.1 g,0.1 g,,1.1 µg,,,,,0.8 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1-5-ekologisk-1l-oatly/2023908
Cottage Cheese Vanilj 500g KESO®,"48,90 kr","0.5kg 97,80 kr/kg",90 kcal,390 kJ,2.9 g,1.9 g,5 g,4.2 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-vanilj-500g-keso/2057861
"Fruktyoghurt Sommarbär Laktosfri 2,1% 1l Valio","40,90 kr","1kg 40,90 kr/kg",73 kcal,307 kJ,2.1 g,1.2 g,9.3 g,8.9 g,3.6 g,0.1 g,,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktyoghurt-sommarb%C3%A4r-laktosfri-2-1-1l-valio/1377820
Ananasdryck Drickfärdig 1l Fontana,"31,90 kr","1L 31,90 kr/l",55 kcal,232 kJ,0.5 g,0 g,11.8 g,10.5 g,0.5 g,0.01 g,,,,,,,0.5 g,22 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ananasdryck-drickf%C3%A4rdig-1l-fontana/1329315
Smoothie Persika & Passion 250ml Froosh,"20,00 kr","0.25L 80,00 kr/l",68 kcal,288 kJ,0 g,0 g,15 g,12 g,0.8 g,0 g,,,,,,,1.1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-persika-passion-250ml-froosh/2018605
Lättdryck Fläderblom Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.3 g,6 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-fl%C3%A4derblom-koncentrat-2dl-bob/1023241
"Grekisk Yoghurt Jordgubb 0,2% 1000g Arla®","35,00 kr","1kg 35,00 kr/kg",60 kcal,250 kJ,0.2 g,0.1 g,4.4 g,3.8 g,8.7 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-jordgubb-0-2-1000g-arla/2080621
Smoothie Energi Frukt & Grönt 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",56 kcal,235 kJ,0 g,0 g,13 g,12 g,0.5 g,0.01 g,,,,,,,0.8 g,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-energi-frukt-gr%C3%B6nt-300ml-br%C3%A4mhults/2062998
Måltidsdryck Äpple 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-%C3%A4pple-2dl-ica/1514878
"Cottage cheese Mini 1,5% 500g KESO®","39,90 kr","0.5kg 79,80 kr/kg",80 kcal,330 kJ,1.5 g,1 g,3.1 g,2.5 g,13 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-mini-1-5-500g-keso/1287920
Ägg Frigående inomhus M/L 24-p ICA,"77,00 kr","24 per frp 3,21 kr/st",140 kcal,600 kJ,9.7 g,2.6 g,0.5 g,0.5 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4gg-frig%C3%A5ende-inomhus-m-l-24-p-ica/2079649
"Havredryck Naturell 2,8% 1l Oatly","22,90 kr","1L 22,90 kr/l",59 kcal,248 kJ,2.8 g,0.3 g,7 g,3.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-2-8-1l-oatly/2107756
Cottage cheese Naturell 4% 250g KESO®,"22,90 kr","0.25kg 91,60 kr/kg",100 kcal,410 kJ,4 g,2.6 g,1.7 g,1.7 g,14 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-naturell-4-250g-keso/1201510
"Cottage Cheese Mini Naturell 1,5% 500g ICA","38,90 kr","0.5kg 77,80 kr/kg",80 kcal,330 kJ,1.5 g,1 g,3.2 g,2.7 g,12 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-mini-naturell-1-5-500g-ica/1521157
Yoghurt Grekisk Naturell 10% 1000g Salakis,"60,00 kr","1kg 60,00 kr/kg",130 kcal,530 kJ,10 g,6.5 g,3.7 g,3.7 g,4.6 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-grekisk-naturell-10-1000g-salakis/2092056
"Lättfil Natuell 0,5% 1000g Arla Ko®","19,90 kr","1kg 19,90 kr/kg",37 kcal,156 kJ,0.5 g,0.3 g,3.8 g,3.8 g,3.6 g,0.09 g,,1 µg,125 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttfil-natuell-0-5-1000g-arla-ko/1447265
Herrgård mild 28% ca 1kg ICA,Ca,"Ca 1kg 138,00 kr/kg",360 kcal,1500 kJ,28 g,18 g,0 g,0 g,27 g,1.2 g,,,750 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herrg%C3%A5rd-mild-28-ca-1kg-ica/1465099
"Färsk mellanmjölk 1,5% 1,5l Arla Ko®","25,90 kr","1.5L 17,27 kr/l",47 kcal,195 kJ,1.5 g,1 g,4.7 g,4.7 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-mellanmj%C3%B6lk-1-5-1-5l-arla-ko/1272664
Mascarpone 250g Zeta,"46,90 kr","0.25kg 187,60 kr/kg",355 kcal,1463 kJ,36 g,25 g,3 g,3 g,5.8 g,0.07 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mascarpone-250g-zeta/1395406
Proteinmilkshake Banan 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",59 kcal,247 kJ,1.5 g,1 g,3.7 g,3.6 g,7.3 g,0.21 g,,,,,,,,,,,,,,,,,84 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-banan-330ml-barebells/2005974
"Grekisk Yoghurt Vanilj 0,2% 200g Arla®","17,90 kr","0.2kg 89,50 kr/kg",60 kcal,230 kJ,0.2 g,0.1 g,4 g,3.5 g,8.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-vanilj-0-2-200g-arla/2112755
Parmesan Parmigiano reggiano lagrad 200g Zeta,"113,00 kr","0.2kg 565,00 kr/kg",402 kcal,1671 kJ,30 g,20 g,0 g,0 g,32 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/parmesan-parmigiano-reggiano-lagrad-200g-zeta/1313442
Ost Präst skivad 31% 150g ICA,"38,90 kr","0.15kg 259,33 kr/kg",380 kcal,1600 kJ,31 g,20 g,0 g,0 g,26 g,1.2 g,,,710 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-pr%C3%A4st-skivad-31-150g-ica/2022197
"Kokosdryck osötad 1,2% 1l Alpro","32,90 kr","1L 32,90 kr/l",14 kcal,56 kJ,1.2 g,1.1 g,0 g,0 g,0.1 g,0.07 g,0.38 µg,0.75 µg,120 mg,,,,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosdryck-os%C3%B6tad-1-2-1l-alpro/2038826
Havredryck Barista Salt Karamell 3% 1000ml Oddlygood®,"31,90 kr","1L 31,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-salt-karamell-3-1000ml-oddlygood/2107515
Mjölkdryck Laktosfri 3% 1l Arla Ko®,"24,90 kr","1L 24,90 kr/l",50 kcal,209 kJ,3 g,1.9 g,2.5 g,2.4 g,3.3 g,0.08 g,0.39 µg,1 µg,110 mg,,,,,,0.12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkdryck-laktosfri-3-1l-arla-ko/1413522
"Sojadryck Original Kalcium 1,8% 1l Alpro","28,90 kr","1L 28,90 kr/l",39 kcal,163 kJ,1.8 g,0.3 g,2.5 g,2.5 g,3 g,0.09 g,0.38 µg,0.75 µg,120 mg,,,,0.5 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-original-kalcium-1-8-1l-alpro/1465006
Snackost orginal 6st 120g Mini Babybel,"38,90 kr","0.12kg 324,17 kr/kg",295 kcal,1225 kJ,23 g,15.5 g,0.01 g,0.01 g,22 g,1.7 g,,,680 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snackost-orginal-6st-120g-mini-babybel/2107263
Gårdsägg M/L 10-p ICA,"48,90 kr","10 per frp 4,89 kr/st",140 kcal,600 kJ,9.7 g,2.6 g,0.5 g,0.5 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/g%C3%A5rds%C3%A4gg-m-l-10-p-ica/1515373
Frukostägg Frigående inomhus M 12-p Kronägg,"47,90 kr","12 per frp 3,99 kr/st",140 kcal,580 kJ,9.7 g,2.6 g,0.5 g,0 g,12 g,0.36 g,1.5 µg,1.4 µg,,,,233 µg,,,0.5 mg,28.6 µg,,,,,,,,5.6 mg,,23 µg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frukost%C3%A4gg-frig%C3%A5ende-inomhus-m-12-p-kron%C3%A4gg/1430962
