Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin D,Kalcium,Järn,Natrium,Zink,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Pastej vegetarisk bredbar kryddad med Karl-Johansvamp 200g Pastejköket,"26,90 kr","0.2kg 134,50 kr/kg",250 kcal,1050 kJ,20 g,1.4 g,12 g,1.3 g,4.9 g,1.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastej-vegetarisk-bredbar-kryddad-med-karl-johansvamp-200g-pastejk%C3%B6ket/1526670
Hamburgare ostekt 130g 4-p Scan,"78,00 kr","0.52kg 150,00 kr/kg",240 kcal,1000 kJ,18 g,9 g,4 g,1 g,15 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgare-ostekt-130g-4-p-scan/2004974
Skinka Lufttorkad 100g Grilstad,"47,90 kr","0.1kg 479,00 kr/kg",200 kcal,830 kJ,8 g,3 g,0 g,0 g,31 g,9 g,,,,,,,1 g,4 g,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-lufttorkad-100g-grilstad/1361060
"Revbenspjäll tunna ca 1,2kg ICA",Ca,"Ca 1.2kg 96,00 kr/kg",194 kcal,808 kJ,14 g,5.9 g,0 g,0 g,18 g,0.14 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/revbenspj%C3%A4ll-tunna-ca-1-2kg-ica/1371694
Klassisk Kebab Import 275g Schysst käk,"63,00 kr","0.275kg 229,09 kr/kg",291 kcal,1217 kJ,24 g,12 g,2 g,0.9 g,14 g,2.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/klassisk-kebab-import-275g-schysst-k%C3%A4k/2173368
Wild Chips 40g Wildman,"41,90 kr","0.04kg 1 047,50 kr/kg",360 kcal,1505 kJ,21 g,,0 g,,42 g,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wild-chips-40g-wildman/1024868
Lantskinka Extrarökt 120g ICA,"31,90 kr","0.12kg 265,83 kr/kg",91 kcal,380 kJ,2.1 g,0.8 g,1.1 g,0.5 g,17 g,2.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantskinka-extrar%C3%B6kt-120g-ica/1422155
Kycklingbröstfilé 900g ICA Basic,"86,00 kr","0.9kg 95,56 kr/kg",95 kcal,400 kJ,1 g,0.3 g,0 g,0 g,21 g,0.43 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingbr%C3%B6stfil%C3%A9-900g-ica-basic/2038613
Chorizo de pimenton 90% Kötthalt 240g Scan,"48,90 kr","0.24kg 203,75 kr/kg",300 kcal,1250 kJ,25 g,9.8 g,4 g,0.5 g,14 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-de-pimenton-90-k%C3%B6tthalt-240g-scan/1463282
Köttbullar Mamma Scans 1kg Scan,"94,00 kr","1kg 94,00 kr/kg",220 kcal,900 kJ,15 g,6 g,8 g,1.5 g,13 g,1.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-mamma-scans-1kg-scan/2024404
Kycklingnuggets Fryst 440g Max,"76,00 kr","0.44kg 172,73 kr/kg",180 kcal,750 kJ,8.3 g,1.2 g,14 g,0.5 g,13 g,1.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingnuggets-fryst-440g-max/1475814
Isterband 330g Lithells,"36,90 kr","0.33kg 111,82 kr/kg",290 kcal,1200 kJ,24 g,12 g,9 g,0.5 g,9.7 g,2.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/isterband-330g-lithells/1026014
