Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Gröna linser Ekologisk 380g Zeta,"19,90 kr","0.23kg 86,52 kr/kg u. spad",93 kcal,391 kJ,1 g,0.5 g,12 g,0.5 g,6.4 g,0.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6na-linser-ekologisk-380g-zeta/1358615
Bryggkaffe Mellanrost 450g ICA,"82,00 kr","0.45kg 182,22 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-ica/2074972
Passerade tomater 390g ICA I love eco,"20,90 kr","0.39kg 53,59 kr/kg",20 kcal,85 kJ,0.5 g,0.5 g,3.6 g,3.1 g,11 g,0.5 g,0.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/passerade-tomater-390g-ica-i-love-eco/2145681
Bryggkaffe Skånerost 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-sk%C3%A5nerost-450g-zoegas/2151441
Mezze Maniche 400g Zeta,"26,90 kr","0.4kg 67,25 kr/kg",367 kcal,1555 kJ,1.5 g,0.5 g,73 g,3 g,14 g,0 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mezze-maniche-400g-zeta/1401806
Basmatiris Boil in bag 500g Ben´s Original,"52,00 kr","0.5kg 104,00 kr/kg",132 kcal,560 kJ,0.5 g,0.1 g,29 g,0.5 g,3.1 g,0.01 g,0.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/basmatiris-boil-in-bag-500g-ben-s-original/2086763
Tacobröd Tortilla Glutenfri 6-p Old el Paso,"41,90 kr","0.216kg 193,98 kr/kg",268 kcal,1136 kJ,2.2 g,0.7 g,58 g,0.3 g,1.9 g,1.31 g,3.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tacobr%C3%B6d-tortilla-glutenfri-6-p-old-el-paso/2023041
Oyster Sauce 200ml Santa Maria,"37,90 kr","0.2L 189,50 kr/l",77 kcal,327 kJ,0.6 g,0 g,15 g,10 g,2.6 g,6.8 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oyster-sauce-200ml-santa-maria/2043868
Amerikansk dressing Original 230g Kavli,"29,90 kr","0.23kg 130,00 kr/kg",600 kcal,2450 kJ,62 g,4.8 g,6.9 g,4.8 g,1.4 g,0.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/amerikansk-dressing-original-230g-kavli/1006061
Paprikapulver 37g Santa Maria,"31,90 kr","0.037kg 862,16 kr/kg",319 kcal,1321 kJ,13 g,2.1 g,19 g,10 g,14 g,0.17 g,35 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/paprikapulver-37g-santa-maria/2023235
Bönmix 380g ICA,"14,90 kr","0.23kg 64,78 kr/kg u. spad",80 kcal,350 kJ,0.8 g,0.2 g,7.7 g,0.7 g,6.5 g,0.5 g,7.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/b%C3%B6nmix-380g-ica/1378519
Tortilla Original Medium 8-p 320g Santa Maria,"20,90 kr","0.32kg 65,31 kr/kg",302 kcal,1277 kJ,4.9 g,1.2 g,55 g,2 g,8.3 g,1.4 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tortilla-original-medium-8-p-320g-santa-maria/2043890
Blåbärssoppa 1l ICA,"21,90 kr","1L 21,90 kr/l",45 kcal,190 kJ,0 g,0 g,11 g,9.6 g,0 g,0.02 g,,,,,,,,,,,25 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4rssoppa-1l-ica/1131803
Blandade Bönor Ekologisk 380g Zeta,"19,90 kr","0.23kg 86,52 kr/kg u. spad",101 kcal,424 kJ,1.1 g,0 g,12 g,0.5 g,7.3 g,0 g,6.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandade-b%C3%B6nor-ekologisk-380g-zeta/1358613
Fiskbullar i dillsås 375g Abba,"36,90 kr","0.375kg 98,40 kr/kg",75 kcal,314 kJ,4.5 g,0.8 g,4.7 g,0.7 g,4.1 g,1.2 g,,,,,2.5 g,1.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fiskbullar-i-dills%C3%A5s-375g-abba/1003805
Fryspåsar 2l 50st ICA,"20,90 kr","50 per frp 0,42 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frysp%C3%A5sar-2l-50st-ica/1007598
Pasta Fettuccine Färsk 250g ICA,"24,90 kr","0.25kg 99,60 kr/kg",276 kcal,1167 kJ,2.9 g,0.8 g,50 g,1.2 g,11 g,0.05 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-fettuccine-f%C3%A4rsk-250g-ica/2116938
Jasminris 1kg ICA,"46,90 kr","1kg 46,90 kr/kg",350 kcal,1500 kJ,0.7 g,0 g,77 g,0 g,7.8 g,0 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jasminris-1kg-ica/1026262
Pastasås Tomat Basilika 390g ICA,"30,90 kr","0.39kg 79,23 kr/kg",40 kcal,180 kJ,1.1 g,0.2 g,6 g,5.2 g,1 g,1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-tomat-basilika-390g-ica/1363345
Sirap Ljus 750g Dansukker,"27,90 kr","0.75kg 37,20 kr/kg",312 kcal,1326 kJ,0 g,0 g,78 g,78 g,0 g,1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sirap-ljus-750g-dansukker/1363252
Kaffefilter Orginal Vit 1x4 80-p Miljömärkt Melitta,"29,90 kr","80 per frp 0,37 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-orginal-vit-1x4-80-p-milj%C3%B6m%C3%A4rkt-melitta/1294333
Lågkalori Äppelmos 350g Önos,"21,90 kr","0.35kg 62,57 kr/kg",40 kcal,160 kJ,0 g,0 g,8.5 g,6.5 g,0 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A5gkalori-%C3%A4ppelmos-350g-%C3%B6nos/1438208
Bakplåtspapper 24 ark ICA Basic,"15,90 kr","24 per frp 0,66 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bakpl%C3%A5tspapper-24-ark-ica-basic/1417832
Ketchup Original 500g Felix,"30,90 kr","0.5kg 61,80 kr/kg",82 kcal,343 kJ,0 g,0 g,18 g,17 g,1.3 g,2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ketchup-original-500g-felix/1469373
Äppelmos Original Refill 730g BOB,"28,90 kr","0.73kg 39,59 kr/kg",120 kcal,450 kJ,0 g,0 g,27 g,24 g,0 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppelmos-original-refill-730g-bob/1001699
Bryggkaffe Intenzo 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-intenzo-450g-zoegas/2151442
Bostongurka Orginal 375g Felix,"41,90 kr","0.375kg 111,73 kr/kg",73 kcal,307 kJ,0 g,0 g,17 g,13 g,1 g,1.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bostongurka-orginal-375g-felix/1353435
Lök Granulerad 41g Santa Maria,"31,90 kr","0.041kg 778,05 kr/kg",337 kcal,1422 kJ,1 g,0.2 g,64 g,6.6 g,10 g,0.18 g,15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%B6k-granulerad-41g-santa-maria/2023104
Vanillinsocker 140g ICA,"13,90 kr","0.14kg 99,29 kr/kg",398 kcal,1691 kJ,0 g,0 g,99 g,97 g,0 g,0 g,,,,,,,,,,,,,0 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/vanillinsocker-140g-ica/1503784
Majskorn 150g ICA,"15,90 kr","0.14kg 113,57 kr/kg",80 kcal,330 kJ,1.5 g,0.5 g,13 g,5.8 g,2.1 g,0.4 g,2.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskorn-150g-ica/1435480
Hönsbuljong 12-p 6l Knorr,"25,90 kr","6L 4,32 kr/l drickklar",7 kcal,30 kJ,0.5 g,0.3 g,0.5 g,0.5 g,0.5 g,0.92 g,0.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/h%C3%B6nsbuljong-12-p-6l-knorr/1502470
Oliver Kalamata Urkärnade 370g Zeta,"43,90 kr","0.17kg 258,24 kr/kg u. spad",244 kcal,1021 kJ,25 g,2.6 g,2.2 g,0 g,2.4 g,1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oliver-kalamata-urk%C3%A4rnade-370g-zeta/1416834
Nyponsoppa Original 1l Ekströms,"19,90 kr","1L 19,90 kr/l",54 kcal,225 kJ,0 g,0 g,13 g,11 g,0 g,0 g,,,,,,,,,,,25 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nyponsoppa-original-1l-ekstr%C3%B6ms/1287593
Specialflingor jordgubb och yoghurt 375g ICA,"62,00 kr","0.375kg 165,33 kr/kg",393 kcal,1664 kJ,3.2 g,1.3 g,75 g,14 g,14 g,0.78 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/specialflingor-jordgubb-och-yoghurt-375g-ica/2017511
Bikarbonat 200g Dr.Oetker,"21,90 kr","0.2kg 109,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bikarbonat-200g-dr-oetker/1489264
Kryddmix Taco mild 28g ICA,"10,90 kr","0.028kg 389,29 kr/kg",300 kcal,1250 kJ,5.9 g,0.9 g,47 g,20 g,7.6 g,17 g,11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kryddmix-taco-mild-28g-ica/1519022
Snabbkaffe Refill Lyx Mellanrost 200g Nescafé,"116,00 kr","0.2kg 580,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-refill-lyx-mellanrost-200g-nescaf%C3%A9/1299169
Glasnudlar 100g ICA Asia,"30,90 kr","0.1kg 309,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasnudlar-100g-ica-asia/2019308
Hallonsylt 620g ICA,"46,90 kr","0.62kg 75,65 kr/kg",179 kcal,761 kJ,0 g,0 g,43 g,42 g,0.5 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallonsylt-620g-ica/2009901
Färsk Pasta Ravioli Ricotta Spenat 250g Rana,"62,00 kr","0.25kg 248,00 kr/kg",251 kcal,1052 kJ,11 g,4.5 g,25 g,6.7 g,11 g,1.1 g,4.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-pasta-ravioli-ricotta-spenat-250g-rana/1454469
Dip Tex mex style 250g Santa Maria,"40,90 kr","0.25kg 163,60 kr/kg",130 kcal,545 kJ,10 g,1.1 g,7.5 g,1.3 g,1.9 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dip-tex-mex-style-250g-santa-maria/1129858
Pastasås Classico 400g Barilla,"32,90 kr","0.4kg 82,25 kr/kg",66 kcal,274 kJ,3.5 g,0.3 g,6.4 g,5 g,1.4 g,1 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-classico-400g-barilla/1458562
Tortilla Original Large 742g 12-p Santa Maria,"60,00 kr","0.742kg 80,86 kr/kg",302 kcal,1277 kJ,4.9 g,1.2 g,55 g,2 g,8.3 g,1.4 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tortilla-original-large-742g-12-p-santa-maria/2043871
Matmix Chili Con Carne 3 portioner 47g Knorr,"21,90 kr","0.047kg 465,96 kr/kg",104 kcal,435 kJ,3.9 g,1 g,7.2 g,2 g,8.6 g,0.6 g,3.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matmix-chili-con-carne-3-portioner-47g-knorr/2086816
Pasta Route 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",356 kcal,1508 kJ,1.5 g,0.5 g,72 g,3 g,12 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-route-500g-ica/2077760
Bryggkaffe Mollbergs blandning 450g Zoegas,"113,00 kr","0.45kg 251,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mollbergs-blandning-450g-zoegas/1499277
Sötmandel 200g ICA,"41,90 kr","0.2kg 209,50 kr/kg",592 kcal,2478 kJ,53 g,4.4 g,6.2 g,6.2 g,21 g,0 g,19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tmandel-200g-ica/2002105
Snabbkaffe 200g ICA Basic,"64,00 kr","0.2kg 320,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-200g-ica-basic/1411264
Dadlar Chokladboll 125g Dave & Jon's,"29,90 kr","0.125kg 239,20 kr/kg",409 kcal,1714 kJ,16.4 g,12.2 g,58.9 g,43.5 g,3.1 g,0.2 g,7.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-chokladboll-125g-dave-jon-s/2125901
Müsli 45% Frukt 750g ICA,"41,90 kr","0.75kg 55,87 kr/kg",350 kcal,1477 kJ,4.2 g,2.1 g,66 g,29 g,7.9 g,0.08 g,8.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCsli-45-frukt-750g-ica/1386586
Fryspåsar 3l 40-p ICA,"20,90 kr","40 per frp 0,52 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frysp%C3%A5sar-3l-40-p-ica/1007599
Senap Sötstark 500g Johnnys,"28,90 kr","0.5kg 57,80 kr/kg",220 kcal,950 kJ,3.3 g,0.5 g,45 g,43 g,4.3 g,1.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/senap-s%C3%B6tstark-500g-johnnys/1008095
Röda Linser Ekologisk 380g Zeta,"19,90 kr","0.23kg 86,52 kr/kg u. spad",81 kcal,341 kJ,0.5 g,0.1 g,12 g,0.5 g,4.5 g,0.3 g,5.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6da-linser-ekologisk-380g-zeta/2055842
Nudlar Kryddstark 85g Samyang,"8,90 kr","0.085kg 104,71 kr/kg",435 kcal,1821 kJ,16.5 g,8.2 g,64.7 g,1.2 g,8.2 g,4.7 g,3.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nudlar-kryddstark-85g-samyang/1003167
Valnötter 300g ICA Gott Liv,"78,00 kr","0.3kg 260,00 kr/kg",696 kcal,2875 kJ,67 g,6.9 g,3.2 g,2.3 g,16 g,0.05 g,6.4 g,,,,,,,151 mg,,386 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/valn%C3%B6tter-300g-ica-gott-liv/1383808
Pressad Citron 250ml Realemon,"18,90 kr","0.25L 75,60 kr/l",22 kcal,93 kJ,0.1 g,0.04 g,1 g,0.9 g,0.3 g,0.02 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pressad-citron-250ml-realemon/2127874
Pasta Gnocchi 500g Barilla,"22,90 kr","0.5kg 45,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,71 g,3.5 g,13 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-gnocchi-500g-barilla/1007538
Solroskärnor 400g Risenta,"33,90 kr","0.4kg 84,75 kr/kg",594 kcal,2485 kJ,47 g,5.2 g,4.3 g,1.7 g,23 g,0 g,11 g,,,,9.5 g,33 g,,325 mg,,660 mg,,35 mg,,116 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/solrosk%C3%A4rnor-400g-risenta/2093009
Dadlar Saltlakrits 125g Dave & Jon's,"29,90 kr","0.125kg 239,20 kr/kg",320 kcal,1343 kJ,2.6 g,1.5 g,67.8 g,54.6 g,2.4 g,0 g,7.1 g,750 mg,,,,,3.7 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-saltlakrits-125g-dave-jon-s/2083009
Lasagne 500g Barilla,"31,90 kr","0.5kg 63,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,71 g,3.5 g,13 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lasagne-500g-barilla/1128651
Pizzasås örter 200g ICA,"15,90 kr","0.2kg 79,50 kr/kg",34 kcal,143 kJ,0.5 g,0.1 g,6.7 g,5.1 g,0.96 g,0.8 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzas%C3%A5s-%C3%B6rter-200g-ica/2141065
Pinjenötter 70g ICA Gott liv,"60,00 kr","0.07kg 857,14 kr/kg",697 kcal,2918 kJ,66 g,3.9 g,8.9 g,4.9 g,14 g,0 g,5.5 g,,,8.5 mg,,,6.7 mg,205 mg,,490 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pinjen%C3%B6tter-70g-ica-gott-liv/1383768
Vita Bönor i Tomatsås 380g ICA,"14,90 kr","0.38kg 39,21 kr/kg",90 kcal,400 kJ,0.7 g,0.5 g,15 g,5.5 g,4.5 g,0.63 g,4.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vita-b%C3%B6nor-i-tomats%C3%A5s-380g-ica/1406594
Bryggkaffe Mellanrost 450g Gevalia,"98,00 kr","0.45kg 217,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-gevalia/1528809
Lingonsylt 620g ICA,"52,00 kr","0.62kg 83,87 kr/kg",162 kcal,687 kJ,0 g,0 g,39 g,38 g,0.3 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingonsylt-620g-ica/2009904
Kalvfond 180ml ICA,"37,90 kr","4L 9,48 kr/l drickklar",90 kcal,340 kJ,0.5 g,0 g,15 g,8 g,5.2 g,16.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalvfond-180ml-ica/2011154
Bönor Svarta 380g ICA,"14,90 kr","0.23kg 64,78 kr/kg u. spad",90 kcal,390 kJ,0.5 g,0 g,14 g,0.5 g,5.4 g,0.5 g,7.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/b%C3%B6nor-svarta-380g-ica/1378513
Tortiglioni 400g Zeta,"26,90 kr","0.4kg 67,25 kr/kg",367 kcal,1555 kJ,1.5 g,0.5 g,73 g,3 g,14 g,0 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tortiglioni-400g-zeta/1401709
Marinad BBQ Allround 75g Santa Maria,"11,90 kr","0.075kg 158,67 kr/kg",81 kcal,340 kJ,1.2 g,0.1 g,12 g,7.2 g,4 g,8.8 g,3.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marinad-bbq-allround-75g-santa-maria/1006127
Krossade tomater 390 g ICA,"15,90 kr","0.39kg 40,77 kr/kg",20 kcal,90 kJ,0.5 g,0.5 g,3.7 g,3.6 g,0.8 g,0.1 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/krossade-tomater-390-g-ica/2119127
Taco sauce Hot 230g Santa Maria,"19,90 kr","0.23kg 86,52 kr/kg",34 kcal,145 kJ,0 g,0 g,5.8 g,4.4 g,1.4 g,1.2 g,1.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taco-sauce-hot-230g-santa-maria/1519333
Spaghetti 2kg ICA,"41,90 kr","2kg 20,95 kr/kg",350 kcal,1500 kJ,1 g,0.5 g,75 g,3 g,12 g,0 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spaghetti-2kg-ica/1401289
Röda linser Ekologisk 400g ICA I love eco,"33,90 kr","0.4kg 84,75 kr/kg",350 kcal,1500 kJ,1.8 g,0 g,59 g,0 g,25 g,0.1 g,10 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6da-linser-ekologisk-400g-ica-i-love-eco/1345224
Tortilla Original L 6-p 371g Santa Maria,"30,90 kr","0.371kg 83,29 kr/kg",302 kcal,1277 kJ,4.9 g,1.2 g,55 g,2 g,8.3 g,1.4 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tortilla-original-l-6-p-371g-santa-maria/2043870
Sesamolja 150ml ICA Asia,"40,90 kr","0.15L 272,67 kr/l",900 kcal,3700 kJ,100 g,13 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sesamolja-150ml-ica-asia/1505785
Honung Flytande flera sorters blommor 350g ICA,"52,00 kr","0.35kg 148,57 kr/kg",320 kcal,1350 kJ,0.5 g,0 g,79 g,79 g,0.5 g,0.015 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/honung-flytande-flera-sorters-blommor-350g-ica/1397202
Soltorkade tomater 200g ICA,"31,90 kr","0.12kg 265,83 kr/kg u. spad",480 kcal,1950 kJ,47 g,7.3 g,8.8 g,5.4 g,2.8 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soltorkade-tomater-200g-ica/1427232
Havregryn 750g AXA,"20,90 kr","0.75kg 27,87 kr/kg",367 kcal,1536 kJ,6.8 g,1.3 g,58 g,1.1 g,13 g,0.01 g,10 g,,0.38 mg,,2.5 g,2.8 g,,129 mg,38.3 µg,417 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregryn-750g-axa/1004769
Äkta Majonnäs 200g Findus,"22,90 kr","0.2kg 114,50 kr/kg",728 kcal,3046 kJ,81 g,6.5 g,1.5 g,1 g,1.3 g,0.6 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4kta-majonn%C3%A4s-200g-findus/1004051
Bryggkaffe Svea 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-svea-500g-arvid-nordquist-classic/1004394
Majonnäs 400g Hellmanns,"43,90 kr","0.4kg 109,75 kr/kg",721 kcal,2965 kJ,79 g,6.2 g,1.3 g,1.3 g,1.1 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majonn%C3%A4s-400g-hellmanns/1406677
Oregano 5g Santa Maria,"35,90 kr","0.005kg 7 180,00 kr/kg",265 kcal,1101 kJ,4.3 g,1.6 g,26 g,4.1 g,9 g,0.06 g,43 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oregano-5g-santa-maria/2023276
Kaffe Wanyama 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-wanyama-500g-arvid-nordquist-classic/1499208
Klassiskt Potatismos 12 port 444g Felix,"47,90 kr","2.4kg 19,96 kr/kg ätklar",66 kcal,276 kJ,0.8 g,0.5 g,12 g,0.9 g,1.5 g,0.52 g,2.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/klassiskt-potatismos-12-port-444g-felix/1310143
Panko 180g ICA,"26,90 kr","0.18kg 149,44 kr/kg",380 kcal,1600 kJ,1.4 g,0.5 g,77 g,2.5 g,12 g,0.4 g,4.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/panko-180g-ica/1509001
Farfalle 500g Barilla,"22,90 kr","0.5kg 45,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,71 g,3.5 g,13 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/farfalle-500g-barilla/2142158
Basilika 10g Santa Maria,"35,90 kr","0.01kg 3 590,00 kr/kg",245 kcal,1016 kJ,4.1 g,2.2 g,10 g,1.7 g,23 g,0.19 g,38 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/basilika-10g-santa-maria/2023262
Citronpeppar 55g Santa Maria,"31,90 kr","0.055kg 580,00 kr/kg",149 kcal,627 kJ,1.2 g,0.5 g,25 g,7.4 g,4.4 g,41 g,9.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citronpeppar-55g-santa-maria/2023204
"Saffran Malen 0,5g ICA","24,90 kr","0.0005kg 49 800,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saffran-malen-0-5g-ica/2001669
Pelati 400g Mutti,"22,90 kr","0.4kg 57,25 kr/kg",22 kcal,92 kJ,0.5 g,0.1 g,3.6 g,2.9 g,1.1 g,0.01 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pelati-400g-mutti/1352301
Bakplåtspapper med struktur 14-p Toppits,"36,90 kr","14 per frp 2,64 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bakpl%C3%A5tspapper-med-struktur-14-p-toppits/2046152
Müsli 50% Frukt & nötter 750g ICA,"58,00 kr","0.75kg 77,33 kr/kg",398 kcal,1670 kJ,14 g,6.1 g,56 g,21 g,7.9 g,0.3 g,8.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCsli-50-frukt-n%C3%B6tter-750g-ica/1386581
Skinka 326g ICA,"53,00 kr","0.326kg 162,58 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-326g-ica/1414085
