Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Tomatpuré 360g ICA,"32,90 kr","0.36kg 91,39 kr/kg",90 kcal,383 kJ,0.4 g,0 g,16 g,16 g,4.5 g,0.13 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatpur%C3%A9-360g-ica/2105254
Linguine 800g Zeta,"36,90 kr","0.8kg 46,13 kr/kg",367 kcal,1555 kJ,1.5 g,0.5 g,73 g,3 g,14 g,0 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/linguine-800g-zeta/1483998
Kokosmjölk Ekologisk 400ml ICA,"28,90 kr","0.4L 72,25 kr/l",180 kcal,750 kJ,17 g,16 g,6.1 g,2.5 g,0.9 g,0.07 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosmj%C3%B6lk-ekologisk-400ml-ica/2001695
Nyponsoppa utan tillsatt socker 1l Ekströms,"27,90 kr","1L 27,90 kr/l",16 kcal,67 kJ,0 g,0 g,3.5 g,1.3 g,0 g,0 g,,,,,,,,,,,25 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nyponsoppa-utan-tillsatt-socker-1l-ekstr%C3%B6ms/1287599
Champinjoner Hela 290g ICA,"19,90 kr","0.17kg 117,06 kr/kg u. spad",18 kcal,80 kJ,0.5 g,0 g,0.5 g,0 g,2.4 g,0.6 g,2.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/champinjoner-hela-290g-ica/1390017
Vitlökspulver Malen 52g ICA,"30,90 kr","0.052kg 594,23 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6kspulver-malen-52g-ica/1286731
Pineapple Salsa 230g Santa Maria,"31,90 kr","0.23kg 138,70 kr/kg",43 kcal,183 kJ,0 g,0 g,9.2 g,8.4 g,0.8 g,0.53 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pineapple-salsa-230g-santa-maria/1519341
Gnocchi Pasta 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",360 kcal,1504 kJ,1.2 g,0.5 g,72 g,3 g,12 g,0 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gnocchi-pasta-500g-ica/2036768
Risnudlar 180g ICA Asia,"24,90 kr","0.18kg 138,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risnudlar-180g-ica-asia/2019307
Finkrossade Tomater Vitlök 390g ICA,"17,90 kr","0.39kg 45,90 kr/kg",30 kcal,130 kJ,0.4 g,0 g,5 g,4.7 g,1.2 g,1 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/finkrossade-tomater-vitl%C3%B6k-390g-ica/1466014
Tacosås Medium 220g ICA,"16,90 kr","0.22kg 76,82 kr/kg",53 kcal,226 kJ,0.5 g,0.5 g,11 g,5.5 g,1.5 g,0.95 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tacos%C3%A5s-medium-220g-ica/1301724
Penne Rigate 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",360 kcal,1504 kJ,1.2 g,0.5 g,72 g,3 g,12 g,0 g,3.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/penne-rigate-500g-ica/1007761
