Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Italiensk Tomat med Mascarpone Soppa 570ml Knorr,"39,90 kr","0.57L 70,00 kr/l",55 kcal,232 kJ,2.9 g,0.5 g,5.7 g,3.2 g,0.9 g,1.2 g,0.65 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/italiensk-tomat-med-mascarpone-soppa-570ml-knorr/1312573
Ris Kokt 600g ICA,"48,90 kr","0.6kg 81,50 kr/kg",74 kcal,310 kJ,1.2 g,0.1 g,14 g,0.5 g,,1.4 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ris-kokt-600g-ica/2166151
Rödbetssallad 400g Rydbergs,"26,90 kr","0.4kg 67,25 kr/kg",280 kcal,1200 kJ,27 g,2 g,8.5 g,7 g,,0.8 g,0.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6dbetssallad-400g-rydbergs/1025354
Baguette Skagenröra 240g GreenDeli,"64,00 kr","0.24kg 266,67 kr/kg",328 kcal,1371 kJ,22.8 g,0.6 g,24.3 g,1.9 g,,6.3 g,1.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-skagenr%C3%B6ra-240g-greendeli/2092731
Tomatsoppa Mustig 5dl Kelda®,"37,90 kr","0.5L 75,80 kr/l",56 kcal,232 kJ,3 g,1.7 g,5.1 g,3.6 g,,1.3 g,0.89 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatsoppa-mustig-5dl-kelda/2153017
Tofuröra Skagen Vegansk 200g ICA,"35,90 kr","0.2kg 179,50 kr/kg",424 kcal,1749 kJ,42 g,3.2 g,4.5 g,2.6 g,,7 g,1.6 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofur%C3%B6ra-skagen-vegansk-200g-ica/2055339
Kantarellsoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",43 kcal,180 kJ,1.9 g,1.1 g,5.9 g,0.6 g,0.5 g,0.5 g,0.88 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kantarellsoppa-3-portioner-6dl-varma-koppen/1008269
Potatismos Bacon & Lök Snack Pot 51g Knorr,"26,90 kr","0.051kg 527,45 kr/kg",89 kcal,372 kJ,3.4 g,0.7 g,11 g,2.1 g,1.8 g,2.6 g,0.62 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatismos-bacon-l%C3%B6k-snack-pot-51g-knorr/2079077
Färdigmat Risotto med Sparris 300g ICA,"56,00 kr","0.3kg 186,67 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-risotto-med-sparris-300g-ica/2009755
Risgröt 500g Felix,"20,90 kr","0.5kg 41,80 kr/kg",102 kcal,426 kJ,2.4 g,1.6 g,16 g,4.9 g,,3.6 g,0.42 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risgr%C3%B6t-500g-felix/1023471
