Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin D,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Fiskgratäng räksås Fryst 350g ICA,"38,90 kr","0.35kg 111,14 kr/kg",110 kcal,457 kJ,3.5 g,2.3 g,11 g,3.6 g,,8.1 g,1.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fiskgrat%C3%A4ng-r%C3%A4ks%C3%A5s-fryst-350g-ica/1008852
Räkor Extra stora skalade Frysta 200g ICA,"65,00 kr","0.2kg 325,00 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-extra-stora-skalade-frysta-200g-ica/1513505
Fish & Crisp Gourmetfiléer 480g Findus,"75,00 kr","0.48kg 156,25 kr/kg",216 kcal,905 kJ,11 g,0.8 g,17 g,0.5 g,0.6 g,12 g,0.73 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fish-crisp-gourmetfil%C3%A9er-480g-findus/2130356
Kaviar dill 250g ICA,"29,90 kr","0.25kg 119,60 kr/kg",420 kcal,1750 kJ,37 g,2.6 g,13 g,12 g,,9.3 g,5.3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaviar-dill-250g-ica/2140683
Räkor Skalade Fryst 300g Royal Greenland,"87,00 kr","0.3kg 290,00 kr/kg",66 kcal,281 kJ,0.7 g,0 g,0 g,0 g,,15 g,1.4 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-skalade-fryst-300g-royal-greenland/2054857
Rom svart finkornig 78g Abba,"41,90 kr","0.078kg 537,18 kr/kg",70 kcal,295 kJ,1.3 g,0 g,3.5 g,0.8 g,,11 g,5.3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rom-svart-finkornig-78g-abba/2140749
Matjessill klassisk 215g Abba,"31,90 kr","0.125kg 255,20 kr/kg u. spad",226 kcal,947 kJ,12 g,3.3 g,18 g,17 g,,11 g,6.1 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matjessill-klassisk-215g-abba/2092653
Inläggningssill 430g Abba,"51,00 kr","0.19kg 268,42 kr/kg u. spad",206 kcal,857 kJ,16 g,4.2 g,0.7 g,0 g,,15 g,7.6 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/inl%C3%A4ggningssill-430g-abba/2092652
Kräftstjärtar med dillsmak i lake 170g ICA,"67,00 kr","0.17kg 394,12 kr/kg u. spad",71 kcal,296 kJ,0.5 g,0.5 g,0.8 g,0 g,,16 g,2.4 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kr%C3%A4ftstj%C3%A4rtar-med-dillsmak-i-lake-170g-ica/2139815
Vannameiräkor XXL 400g ICA,"147,00 kr","0.4kg 367,50 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vannameir%C3%A4kor-xxl-400g-ica/1493521
Torskfilé Sprödbakad Fryst 4-p 360g Findus,"80,00 kr","0.36kg 222,22 kr/kg",220 kcal,922 kJ,9.5 g,0.7 g,21 g,0.7 g,1.2 g,12 g,0.69 g,,,,13 µg,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9-spr%C3%B6dbakad-fryst-4-p-360g-findus/2024859
Löjrom Fryst 80g Pandalus,"161,00 kr","0.08kg 2 012,50 kr/kg",160 kcal,680 kJ,8.5 g,1.9 g,3.9 g,0.5 g,,17 g,3.5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%B6jrom-fryst-80g-pandalus/1323492
Caviar röd storkorning stenbitsrom 80g Abba,"56,00 kr","0.08kg 700,00 kr/kg",90 kcal,370 kJ,4 g,0.9 g,2 g,0 g,,11 g,4.9 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caviar-r%C3%B6d-storkorning-stenbitsrom-80g-abba/1283493
Kaviar original 190g Kalles,"36,90 kr","0.19kg 194,21 kr/kg",401 kcal,1679 kJ,34 g,2.5 g,16 g,12 g,,8.7 g,6.3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaviar-original-190g-kalles/2140637
Räkor Stora Skalade Frysta 200g ICA,"65,00 kr","0.2kg 325,00 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-stora-skalade-frysta-200g-ica/1513503
5-minuters sillfilé 430g Abba,"60,00 kr","0.21kg 285,71 kr/kg u. spad",268 kcal,1124 kJ,13 g,3.4 g,27 g,26 g,,11 g,3.6 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/5-minuters-sillfil%C3%A9-430g-abba/2092650
Crispies Fryst 8-p 370g Findus,"58,00 kr","0.37kg 156,76 kr/kg",247 kcal,1033 kJ,11 g,0.9 g,22 g,0.8 g,1.8 g,14 g,0.76 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crispies-fryst-8-p-370g-findus/2024855
Lax kallrökt skivad 100g Miljömärkt ICA,"60,00 kr","0.1kg 600,00 kr/kg",173 kcal,724 kJ,9.8 g,1.4 g,1.3 g,0 g,,20 g,3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lax-kallr%C3%B6kt-skivad-100g-milj%C3%B6m%C3%A4rkt-ica/2092145
Matjessill i bitar 200g Klädesholmen,"21,90 kr","0.125kg 175,20 kr/kg u. spad",230 kcal,950 kJ,14 g,4 g,15 g,15 g,,12 g,6 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matjessill-i-bitar-200g-kl%C3%A4desholmen/2092681
Musslor i vatten 200g ICA,"40,90 kr","0.2kg 204,50 kr/kg u. spad",106 kcal,445 kJ,2.7 g,0.6 g,3.4 g,0 g,,17 g,1.5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/musslor-i-vatten-200g-ica/1467372
Varmrökt lax 150g ICA Basic,"62,00 kr","0.15kg 413,33 kr/kg",219 kcal,912 kJ,15 g,2.3 g,0 g,0 g,,21 g,1.5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/varmr%C3%B6kt-lax-150g-ica-basic/2107870
