Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Glass Choklad 900ml ICA,"46,90 kr","0.9L 52,11 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-choklad-900ml-ica/1318988
Müslibar BIG vit choklad 40g Corny,"14,90 kr","0.04kg 372,50 kr/kg",435 kcal,1832 kJ,14 g,8.5 g,71 g,35 g,5.9 g,0.69 g,2.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCslibar-big-vit-choklad-40g-corny/1530840
Sour cream & onion 40g Pringles,"18,90 kr","0.04kg 472,50 kr/kg",525 kcal,2191 kJ,30 g,2.8 g,56 g,2.5 g,6 g,1.3 g,3.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sour-cream-onion-40g-pringles/1477150
Glass Mini Utopia double hazelnut 6-p Magnum,"69,00 kr","6 per frp 11,50 kr/st",358 kcal,1499 kJ,21 g,13 g,37 g,30 g,4.8 g,0.47 g,0.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mini-utopia-double-hazelnut-6-p-magnum/2154399
Glass White Chocolate Strawberry 100ml Magnum,"33,90 kr",,288 kcal,1203 kJ,17 g,11 g,30 g,26 g,3.8 g,0.13 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-white-chocolate-strawberry-100ml-magnum/2130093
Chokladpraliner Rocher 200g Ferrero,"88,00 kr","0.2kg 440,00 kr/kg",603 kcal,2506 kJ,42.7 g,14.1 g,44.4 g,39.9 g,8.2 g,0.153 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladpraliner-rocher-200g-ferrero/1007291
Toblerone 50g Marabou,"17,90 kr","0.05kg 358,00 kr/kg",535 kcal,2235 kJ,29.5 g,18 g,60.5 g,59.5 g,5.6 g,0.15 g,2.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/toblerone-50g-marabou/1001678
Persikor 80g Haribo,"13,90 kr","0.08kg 173,75 kr/kg",367 kcal,1558 kJ,0.5 g,0.1 g,86 g,68 g,4.4 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/persikor-80g-haribo/1487536
Sesamkaka Jordnöt 30g Risenta,"10,90 kr","0.03kg 363,33 kr/kg",504 kcal,2100 kJ,32 g,5.1 g,40 g,25 g,13 g,0.8 g,5.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sesamkaka-jordn%C3%B6t-30g-risenta/2083588
Chips Cheese & Onion 165g Pringles,"43,90 kr","0.165kg 266,06 kr/kg",516 kcal,2157 kJ,29 g,6.3 g,56 g,2.9 g,6.1 g,1.4 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-cheese-onion-165g-pringles/2126421
Chokladkaka EXCELLENCE 90% Kakao Mörk Choklad 100g Lindt,"55,00 kr","0.1kg 550,00 kr/kg",592 kcal,2483 kJ,55 g,30 g,14 g,7 g,10 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-excellence-90-kakao-m%C3%B6rk-choklad-100g-lindt/1363756
Glass Vanilj Krossad Choklad 500ml GB Gräddglass,"18,90 kr","0.5L 37,80 kr/l",110 kcal,460 kJ,5.3 g,3.4 g,14 g,11 g,1.4 g,0.05 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-krossad-choklad-500ml-gb-gr%C3%A4ddglass/2067306
Mini Marängtoppar 100g ICA,"35,90 kr","0.1kg 359,00 kr/kg",397 kcal,1686 kJ,0.1 g,0.1 g,94 g,81 g,5.1 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mini-mar%C3%A4ngtoppar-100g-ica/2015742
Popcorn färdigpoppade 80g ICA Basic,"11,90 kr","0.08kg 148,75 kr/kg",498 kcal,2075 kJ,28 g,2 g,47 g,0.9 g,6.8 g,2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/popcorn-f%C3%A4rdigpoppade-80g-ica-basic/2145571
Halstablett Fruity Fresh Lemon & natural menthol sockerfri 72g Vicks,"27,90 kr","0.072kg 387,50 kr/kg",238 kcal,992 kJ,0 g,0 g,97 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstablett-fruity-fresh-lemon-natural-menthol-sockerfri-72g-vicks/1528040
Choklad Nougat Ljus 180g Tony's Chocolonely,"67,00 kr","0.18kg 372,22 kr/kg",535 kcal,2240 kJ,31 g,19 g,55 g,51 g,7.4 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-nougat-ljus-180g-tony-s-chocolonely/1520478
