"url","name","price","size","Energi (kcal)","Energi (kJ)","Fett","Varav mättat fett","Kolhydrat","Varav sockerarter","Protein","Salt","Fiber","Varav polyoler","Fosfor","Vitamin B12","Vitamin D","Folsyra","Selen","Järn","Magnesium","Zink","Varav enkelomättat fett","Varav fleromättat fett","Fluorid","Vitamin B6","Natrium","Kalcium","Material","Kalium","Vitamin E","Pantotensyra"
"https://www.hemkop.se/produkt/Korvel-Klass-1-101600928_ST","Körvel Klass 1","25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Babyspenat-Ekologisk-Klass-1-101240156_ST","Babyspenat Ekologisk Klass 1","32","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Ruccola-Ekologisk-Klass-1-101232114_ST","Ruccola Ekologisk Klass 1","32","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Mache-Sallad-Eko-Klass-1-101265682_ST","Mache Sallad Eko Klass 1","32","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Smabladsmix-Ruccola-Rod-gron-Klass-1-101281471_ST","Småbladsmix Ruccola Röd/grön Klass 1","32","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Tomat-Cockt-Eko-Klass-1-100930094_ST","Tomat Cockt Eko Klass 1","42","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Sharon-101203305_ST","Sharon","20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Radisor-Roda-i-Bunt-100151149_ST","Rädisor Röda i Bunt","25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Bakpotatis-Klass-1-100266196_ST","Bakpotatis Klass 1","25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Passionsfrukt-100257650_ST","Passionsfrukt","25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Mango-atmogen-101432533_ST","Mango Ätmogen","40","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Lok-Vit-Morado-Klass-1-101331906_ST","Lök Vit Morado Klass 1","20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Kiwi-Klass-1-100180723_ST","Kiwi Klass 1","20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Gurka-Sverige-Klass-1-100594965_ST","Gurka Sverige Klass 1","32","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Grape-Rod-Klass-1-101204878_ST","Grape Röd Klass 1","22","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Fikon-101195693_ST","Fikon","25","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Citron-Klass-1-100255117_ST","Citron Klass 1","14","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Citron-Eko-Klass-1-101234341_ST","Citron Eko Klass 1","20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Avokado-Klass-1-100151933_ST","Avokado Klass 1","24","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Jordgubbar-Frysta-101174269_ST","Jordgubbar Frysta","35","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Stora-Blabar-Odlade-Frysta-101277258_ST","Stora Blåbär Odlade Frysta","38","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Hallon-Frysta-101302035_ST","Hallon Frysta","40","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Spetspaprika-Rod-Klass-1-100816306_ST","Spetspaprika Röd Klass 1","15,00/st","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.hemkop.se/produkt/Palsternacka-Klass-1-100942027_ST","Palsternacka Klass 1","14,95/st","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.facebook.com/Hemkop","Hemköp Verified account","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.youtube.com/user/hemkopskedjan","Before you continue to YouTube","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.tiktok.com/@hemkop_sverige","hemkop_sverige","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://apps.apple.com/se/app/hemk%C3%B6p/id690495271","Hemköp

              
                4+","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://play.google.com/store/apps/details?id=se.axfood.hemkop&hl=sv_SE","Hemköp","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://lakemedelsverket.se/ovriga-sidor/eu-logotyp-vidimering/#Z00259","Hemköpskedjan AB","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
